,A,AB,B,BG,BK,C,CK,D,E,F,FJ,G,H,J,JK,K
29.0,27574,25357,25370,26274,26129,24179,27277,24464,23345,22713,27570,23432,24133,22006,25380,26205
72.0,30745,29991,30452,29562,,29789,31768,28688,29069,27937,,27643,28434,25912,,34147
115.0,,,,,,,,,,,,,,,,
