,A,B,C,D,E,F,G,H,J,K,L,M
7.0,4096460,4100134,3940272,4776192,4787136,3881952,4892843,4797015,4256496,4797504,4822272,3703777
19.0,4151430,4241661,4104000,4764096,5046336,4096224,4815160,4784856,4229280,4793472,4746816,3837339
31.0,4354102,4049424,4270320,5269824,5342400,4280256,5401637,5293218,4514832,5272704,5269824,4034880
