,A,B,C,D,E,F,G,H,I,J,K,L
2.0,510,450,535,390,390,390,390,440,367,379,370,346
5.0,510,450,535,390,390,390,390,440,367,379,370,346
8.0,510,450,535,390,390,390,390,412,367,379,370,346
