,1,10,11,12,13,14,15,16,2,3,4,5,6,8,9
2.0,11755,12572,12566,12563,12568,12612,12612,12590,12557,12566,12588,12548,12590,12590,12591
4.0,11892,12727,12721,12718,12724,12767,12767,12745,12727,12721,12743,12701,12745,12745,12746
7.0,12108,12959,12953,12950,12956,12999,12999,12977,12959,12953,12977,12903,12977,12977,12979
