,A,B,C,D,E,F,G1,G2,H,I,J
4.0,4218200,3959550,3900260,4806270,3865940,4053720,2713728,3011580,3954750,3123220,3048800
10.0,4347280,4065660,4004780,4947075,3969680,4186512,2791872,2823975,4085250,3222590,3655600
17.0,4509960,4192830,4130360,5212620,4094220,4409328,2801492,2883705,4232750,3443180,3780000
