,A,B,C,D,E,F,G,H,J,K
6.0,8979200,6689875,7114976,7823907,5780136,11987112,9913572,7932564,3716930,5749084
16.0,9167080,7091513,7608469,8282820,6049836,12853800,10405368,10607325,6058752,6110380
23.0,9032270,7650271,7651853,7840430,6218352,13090896,11222871,11220348,6553064,6235444
