,A,B,C,D,E,F,G,H,I,J,K,L
4.0,720,710,655,591,714,705,457,416,589,589,416,441
10.0,658,710,717,706,714,705,457,416,589,589,416,441
17.0,720,507,694,658,714,705,457,416,589,589,416,441
