,A,A1,A2,B,B2,B3,C,D,E,E1,E2,E3,F,F1,F2,G,H,I,J,K,L
4.0,,4860972,3240108,,3153630,3232903,,4497350,,3240946,3143232,3093540,,4646989,3216168,,3375095,2462868,3233600,3107278,3143232
9.0,,5082588,3383064,,3290960,3376145,,4701775,,3383805,3280014,3229464,,4858428,3357072,,3476280,2573868,3753200,3295726,3280014
14.0,,5303475,3517128,,3416820,3509046,,4906200,,3516323,3404862,3052086,,5069867,3532518,,3608735,2680428,3508800,3362770,3404862
