,1,10,11,12,13,14,15,16,22,24,3,4,5,6,7,8,9
7.0,14123,15003,15042,14948,14948,14948,16356,15003,15003,14915,14541,15003,15003,15003,15401,14103,15003
10.0,14473,15395,15433,15338,15338,15338,16751,15395,15395,15360,15395,15395,15395,15395,15338,14442,15395
13.0,14805,14936,15092,14874,14874,14874,17166,14936,14936,15682,14936,14936,14936,14936,14874,14779,14936
