,1,2,3,4,5,6,7,8
5.0,14418,11607,13270,12194,13654,13662,13253,14900
14.0,13183,12539,12578,12976,14419,16090,14064,13992
22.0,13857,13197,13245,13236,15107,16683,14790,14288
