,A,B,C,D,E,F,G,H,J,K,L,M
5.0,5877990,6901107,6922682,6979017,6901107,5038844,5254984,7132779,6922682,6922682,5710026,5678924
14.0,6161888,7173558,7196055,7254762,7173558,5239148,5429608,7426506,7196055,7196055,5937036,5930528
23.0,6335890,7463739,7486625,7546518,7463739,5441164,5620924,7743873,7486625,7486625,6169842,6181650
