,A,B,C,D,E,F,G,H,I,J
3.0,5281518,4890820,4325090,4383720,4438596,4457512,,,2606065,2709700
6.0,5377740,5020540,4441120,4501800,4557178,4576656,,,2672950,2746695
10.0,5154960,5182690,4587080,4650630,4706566,4726328,,,2803535,2829995
