,A,B,BC,C,CD,D,E,F,G,H
10.0,499,749,1494,745,1486,741,509,504,503,510
24.0,499,749,1494,745,1486,741,509,504,503,510
37.0,499,749,1494,745,1486,741,509,504,503,510
