,A1,A2,A3,A5,A6,B1,B2,B3,B5,B6
4.0,851,452,381,503,732,291,603,442,451,448
10.0,851,452,381,503,732,291,603,442,451,448
17.0,851,452,381,503,732,291,603,442,451,448
