,A,B,C,D,E,F,G,H,I,J,K,L,M,N
7.0,5017848,5521633,6285375,6285375,6285375,6441000,5780628,6061551,6209561,6013684,6607509,6207564,5670545,6037312
10.0,4634784,5620228,6399000,6399000,6399000,6553875,5978988,6171295,6436269,6514246,5845750,6358968,5199062,6145786
14.0,4736160,5782675,6552750,6552750,5879133,5780052,6122712,6319666,6533378,5493906,5396694,6470940,8806671,6292924
