,A,AB,B,C,D,E,F,G,GH,H
5.0,3633448,11106585,9283973,8490728,6301606,6406344,7875694,9187780,11106585,3644228
10.0,3573472,11369385,8274030,8798058,6447186,6553512,8091978,9290266,11369385,3761436
18.0,3724588,11638755,9895293,9668686,6518972,6800472,8408624,10112851,11638755,3862768
