,A,B,B2,C,D,E,F,G
2.0,13580,13777,13515,13886,13977,13886,20251,20251
4.0,13915,14132,13845,14226,14320,14985,20750,20750
7.0,14420,14636,14343,14736,16198,14736,21502,21502
