,1A,1B,1C,1D,1E,1F,1H,A,B,C,D,E,F,G,H
5.0,355,338,338,355,355,350,355,355,338,338,355,355,350,350,355
12.0,355,338,338,355,355,350,355,355,338,338,355,355,360,350,333
20.0,355,338,338,355,355,350,355,355,338,338,355,355,350,350,355
