,A,B,BC,BE,C,CD,CG,CH,D,DF,E,EF,F,FG,G,H
12.0,532,440,799,790,359,629,711,803,270,620,350,700,350,702,352,444
26.0,532,440,799,790,359,629,711,803,270,620,350,700,350,702,352,444
38.0,532,440,799,790,359,629,711,803,270,620,350,700,350,702,352,444
