,A,B,C,D,E,F,G,H,J
11.0,36610,23710,22380,24290,27460,24197,26677,26719,24078
22.0,38814,27437,24471,26964,24595,27285,29140,27827,28191
32.0,41817,29065,25984,28338,26136,29644,31091,30178,29833
