,A,B,C,D,E,F,G,H,J,K,L,M
10.0,8400932,6257265,6060787,6272505,6276512,7332600,9029724,5815260,6193935,6573600,6257790,6560120
27.0,8032551,6290109,6371658,6604452,6648708,7699560,8423173,5903370,6377580,6792885,6437970,6365100
42.0,8034528,6840246,6580023,6793178,6817140,8443380,8865373,6316200,6732000,6796845,6650820,6922230
