,A,B,C,D,E,F,G,H,J,K,L
3.0,13169,10923,10877,13340,13343,12734,12763,10650,13234,11029,10670
6.0,13406,11123,13603,13327,13590,12911,13011,10841,13498,11202,10895
8.0,13564,12600,13966,13475,13755,13256,12940,10968,13663,12424,11023
