,A,B,C,D,E,F,G,H,J,K,L
10.0,19824224,19406448,10223955,12975174,14146470,18652608,16440906,11002260,7585868,7524018,13929435
21.0,21310176,19999800,10725690,13631461,14889420,19518160,16851618,11170020,7602468,7955880,15188355
31.0,22086992,20963628,11913765,15455079,15656940,20603296,18382632,12067070,8168196,8178992,15854670
