,A,B,C,D,E,F,G
8.0,11968734,12925011,9471280,8713040,10368680,12289536,18799664
14.0,12374118,11885545,9819600,9253440,11570335,10249470,19466564
20.0,10930150,12490030,10183600,10220560,12017880,10774260,25521028
