,1,10,10A10B,11,12,13,13-19,14,15,16,17,1718,18,19,2,20,3,4,45,5,6,67,7,8,9,RM 1-5,RM 6FLAT 16,RM 7,RM 8,RM6FLAT 16
18.0,13958640,28867280,39228796,13754300,12724030,8624440,,25945500,11103105,28168025,28517005,54430658,12349542,37191572,30883250,14768600,29103250,42467790,,22449450,11101652,33171600,11356020,8564464,12157740,21023100,8467552,35540000,41818420,8467552
29.0,14502240,26602160,42052888,14649600,16262995,9252760,,27800850,11840377,29057700,28935005,58511028,13264146,39793336,33097000,15941310,28828415,45566970,,22289944,11797764,35539200,12195495,9352329,13165740,22581900,8779136,38066250,44962810,8779136
40.0,18096595,28304640,44584376,17369424,17635220,9630280,,29653050,13912487,33061335,25838895,62548706,14253375,52537800,35167000,16725940,30598645,48108200,,26160150,15952365,37744800,14449458,9081170,13387385,24001200,9210560,40410000,48074885,9210560
