,A01,A02,A03,A05,A06,A07,A07A08,A08,B01,B02,B03,B05,B06,B07
3.0,4297995,4263287,4132125,4026265,7106084,5362779,,5421438,4246490,4006878,5752590,4022373,5359556,5372730
8.0,4495179,4297791,4176450,4171438,7454904,5533305,,5713983,4274780,4115658,5900870,4212903,5482323,5643891
14.0,4683120,4492330,4331925,4330883,7521672,5838318,,5922477,4535600,4314792,6192375,4252323,5838318,5879412
