,A,B,C,CD,CF,D,E,F,FG,FH,G,H,J,JK,K
22.0,16445072,12021174,11257452,24191622,19059003,11442822,10955592,8025382,21226907,28143699,13058694,17810932,15537116,43319910,17446250
68.0,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,
