,A,B,C,D,DE,E,EF,F,G
5.0,24089625,19348647,28791672,13220172,29879868,12479670,44453500,15006810,13249651
9.0,23914597,20242584,29275428,13120296,31020027,12652092,45088550,15253602,13420443
15.0,25755184,21077346,30298632,13507011,31758738,12920490,46221870,15600312,13690479
