,1,2,3,4,5,6,7,8,A1,A3,A4,A5,A6,A7,A8
5.0,213,263,274,213,213,284,284,213,213,274,213,213,284,284,213
14.0,213,263,274,213,213,284,284,213,213,274,213,213,284,284,213
23.0,213,263,274,213,213,284,284,213,213,274,213,213,284,284,213
