,A,C,D,E,F,G,H,I,J,K,L
2.0,3239280,3143805,3075864,3053708,3109045,3053708,3831264,2733720,2963880,2963160,3505950
3.0,3254822,3068606,3091526,3068606,3123660,3401328,3850340,2748762,2978640,2978280,3523050
4.0,3269955,3083886,3107188,3083886,3138670,3083886,3868914,2762496,2971440,2928960,3540150
