,A,B,C,D,E,F,G,H,whole floor
3.0,9004672,7455372,11777265,8966141,10124854,7933470,9929472,11573940,13087660
7.0,9328504,7717458,12229341,9288794,10489254,8201805,10286080,11696292,13557740
11.0,9652336,7996872,12653474,9354528,10852743,8470140,10685514,12102885,14028950
