,A,AB,B,C,D,E,E & F,F,G,H,I,J,K
7.0,4968587,10946825,4870118,4806706,4870118,4741281,11000480,5092052,5150460,4943538,4801125,5052180,7556490
12.0,5092711,11228640,4991594,4961798,4991594,4305861,11283372,5219536,5371380,5066991,4921125,5161800,7760550
18.0,5233358,11572470,5130642,5064938,5130642,4398849,11629304,5366914,5510820,5207859,5058375,5307540,8095710
