,A1,A3,A4,B2,B3,B5,C2,C3,C5,D3,D4
1.0,13926,15733,14559,14278,14555,14755,14278,14550,14393,14959,14635
2.0,14030,14749,14668,14385,14663,14864,14385,14658,14500,15071,14745
