,A,B,C,D,E,F,G
8.0,11925630,11547656,11789130,11001528,7263216,,12532060
15.0,12809340,12489720,12539590,11703120,7673436,,13259400
20.0,13297770,12998776,13321450,12043128,7966008,,14183540
