,A,B,C,D,E,F,G,H,K,L,M
6.0,482,591,593,593,591,428,428,591,593,493,482
15.0,482,591,593,593,591,428,428,591,593,483,482
23.0,482,591,593,593,591,428,428,591,593,483,482
