,A,B,C,D,E,F,G,H,J,K,L,M
8.0,5155452,3907488,5111975,4881252,3965080,4526798,4659522,4574547,5385888,4519809,4390902,3641797
18.0,5705560,4322640,5514300,5372304,4440576,5277238,5217856,5300388,5772384,4946641,4713660,3878637
27.0,5690508,4189650,5951000,6087202,4515840,5332493,5715542,5555646,5442624,4908827,5005458,4380012
