,A,B,C,E,F,G,H
4.0,5138364,5005056,4867968,4904010,3902750,3904760,5016312
8.0,5255250,4060224,5001472,5035581,4002580,4003920,5144628
13.0,5381632,4198208,5169024,5199048,4128875,4129880,4943496
