,1,2,3,4,5,6,whole floor
2.0,3841952,3548853,3548853,3797568,2479008,2472480,4350848
4.0,3893632,3596649,3596649,3848640,2511240,2504712,2825320
7.0,3977536,3387420,3673464,3930720,2565096,2554896,3977536
