,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,19723550,18095,1090
10.0/F中層A,10.0,中層,A,19990600,18340,1090
17.0/F高層A,17.0,高層,A,20458210,18769,1090
6.0/F低層B,6.0,低層,B,16883537,17281,977
10.0/F中層B,10.0,中層,B,18195648,18624,977
17.0/F高層B,17.0,高層,B,18619666,19058,977
6.0/F低層C,6.0,低層,C,11867391,17739,669
10.0/F中層C,10.0,中層,C,13350564,19956,669
17.0/F高層C,17.0,高層,C,12351078,18462,669
6.0/F低層D,6.0,低層,D,9538298,18557,514
10.0/F中層D,10.0,中層,D,9761888,18992,514
17.0/F高層D,17.0,高層,D,9860576,19184,514
6.0/F低層E,6.0,低層,E,18465709,18301,1009
10.0/F中層E,10.0,中層,E,18715941,18549,1009
17.0/F高層E,17.0,高層,E,19152838,18982,1009
