,A,B,C,D,E,F,whole floor
4.0,4372128,4298700,4177875,4690400,5710380,4430931,4665700
8.0,4481676,4807824,4162925,4628736,5853510,4542065,4830456
12.0,4280328,4608900,4991025,4925904,5997810,4656883,4949848
