,A,B,C,D,E,F,G
6.0,10023228,12934904,9156168,6963296,6512128,6610016,10127015
10.0,10369240,13387050,9422938,7196608,6668160,6628416,10628254
17.0,11838380,13667500,9916592,7199184,6930544,7142880,11022336
