,A,B,C,D,E,H,I,J,K,L,M,N,O,P,R
2.0,,2303325,,,2566697,,,,,,,,,2776140,
3.0,,2314974,,,2579934,,,,,,,,,2789973,
4.0,,2326623,,,2592744,,,,,,,,,2803806,
