,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
3.0,385,370,370,370,370,370,390,390,450,381,405,310,320,320,345,350
6.0,385,370,370,370,370,370,390,390,450,381,405,310,320,320,345,350
9.0,385,370,370,370,370,370,390,390,450,381,405,310,320,320,345,350
