,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B2,B3,B4,B5,B6,B7,B8,B9
2.0,280,250,253,267,253,267,253,267,253,256,290,252,273,252,273,266,285,300
4.0,280,250,253,267,253,267,253,267,253,256,290,252,273,252,273,266,285,300
7.0,280,250,253,267,253,267,253,267,253,256,290,252,273,252,273,266,285,300
