,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
4.0,11259,10763,11380,11631,10940,10763,11428,12726,11553,11189,11288,11742,11436,11398,11424,11692
9.0,11751,11235,11596,12121,11579,11235,11907,12981,12060,11678,11757,10374,11888,11910,11911,12183
14.0,11880,11543,12063,11210,12238,11722,12336,13547,12571,15513,11655,10916,12450,12812,12571,12485
