,A,B,C,C1,C2,D,E,F,H,I,J,K,L,L1,L2
2.0,,,,9983,6541,6339,,,,,7994,7994,,8033,8698
4.0,,,,10115,6628,6420,,,,,8096,8096,,8139,8813
7.0,,,,10312,6757,6542,,,,5820,8249,8249,,8298,8985
