,A,B,C,CD,D,E,F,FG,G,H,J,K,L
16.0,390,260,256,515,259,203,198,410,255,252,248,264,193
36.0,,495,485,515,259,203,198,410,255,252,248,264,193
65.0,,,,,,,,,,,,,
