,A,B,C,D,E,F,G,H,J,K
13.0,25525,28443,26741,27377,25137,27379,25437,28769,27239,28251
28.0,27267,27479,27835,28095,27901,31014,26439,29386,28180,28606
41.0,29599,29738,32494,33162,33622,33633,27624,31581,42003,31601
