,subjFloor,floorLv,unitNo,price,npsf,nfa
9.0/F低層A,9.0,低層,A,11520613,10777,1069
12.0/F中層A,12.0,中層,A,11640341,10889,1069
17.0/F高層A,17.0,高層,A,11875521,11109,1069
9.0/F低層B,9.0,低層,B,10724716,10844,989
12.0/F中層B,12.0,中層,B,10845374,10966,989
17.0/F高層B,17.0,高層,B,11071855,11195,989
9.0/F低層C,9.0,低層,C,10665376,10784,989
12.0/F中層C,12.0,中層,C,10785045,10905,989
17.0/F高層C,17.0,高層,C,10992735,11115,989
9.0/F低層D,9.0,低層,D,11539740,10805,1068
12.0/F中層D,12.0,中層,D,11668968,10926,1068
17.0/F高層D,17.0,高層,D,11895384,11138,1068
