,A,B,D,E,F,G,H,J,K
4.0,12156,12119,12268,11422,11574,12154,12156,11657,11422
10.0,12419,12380,12530,11671,11829,12416,12419,11908,11671
17.0,12721,12680,12834,11949,12111,12718,12721,12192,11949
