,A,B,C,D,E,F,G,H,J,K,L
9.0,417,251,252,197,311,253,194,248,248,278,193
18.0,417,251,252,197,311,253,194,248,248,278,193
25.0,417,251,252,197,311,253,194,248,248,278,193
