,A,AB,B,C,D,DE,E
10.0,12357168,17161760,7377696,13666250,13701969,19363136,12170496
18.0,15881104,18084640,9032256,15577640,14585234,20414528,12588984
26.0,13339632,19010880,8131536,16054168,13968048,21464551,12498672
