,A,B,C,D,E,F,G,H,J,K,L
4.0,12351256,8238052,8260028,12404588,8132076,8268750,8990133,5504823,8423370,8303360,12673024
10.0,13715659,8285463,8414910,13447056,8314704,8387400,9538446,5712680,8846874,8612760,12978004
17.0,13373052,8677206,8690486,13200544,8727156,8621025,10344414,5204284,9284910,9081551,13708044
