,A,A1,A2,B,B1,C,D,E,F,G,H
2.0,12621090,7064400,6606375,12370206,6182250,4602885,4520640,11431994,4305264,6946868,6678080
4.0,12838590,7072230,6708375,12583456,6213375,,4282420,5254476,4006887,7068848,6795750
7.0,12215175,7286685,7406250,11344977,6360750,4671325,4397098,5329208,4034386,7324792,6817890
