,A,B,C,D,E,F,G,GH,H
19.0,9510291,9437715,8353000,7574994,7367925,7473480,7156163,18869760,10278877
38.0,10535994,10178217,8893000,8145690,7741785,7815255,7721472,20450880,10612805
56.0,10631250,10802484,8452500,7929546,8421615,8015670,8317857,22083840,11372865
