,1,10,2,3,4,5,6,7,8,9,E6,E8
4.0,11172,12204,9307,12126,12126,11677,12082,12082,12149,12204,12082,11603
7.0,11470,12512,12051,12431,12431,11970,12386,12386,12455,12334,12386,11892
10.0,11770,12819,12347,12737,12737,12339,12227,12690,12762,12314,12690,12089
