,A,B,C,C & D,D,E,EF,F,G,G & H,H,I,J,K,L,M,N,O,P,Q,R,S
3.0,13814,14412,13777,11000,13416,14104,11000,14120,12891,11000,14099,14251,14504,11198,13503,13982,12104,12133,13853,13912,13434,11329
8.0,14502,15204,14251,11376,13794,14565,11376,14809,13278,11376,14560,15135,14998,10794,13790,14439,12559,12118,14504,14567,13848,10973
12.0,14849,14964,14577,11630,13859,14914,11630,14914,13570,11630,14910,14967,14766,11567,14129,13702,12451,12425,14117,14245,13876,11232
