,A,B,C,E,F,G,H,I,J,K,L
2.0,3821985,3821985,3227620,3821985,3243940,3821985,3499605,3210620,3568960,4130490,3281995
3.0,3834540,3834540,3220480,3834540,3240540,3834540,3510945,3300380,3580360,4143840,3292380
4.0,3846690,3846690,3230000,3846690,3263660,3846690,3522690,3311260,3591760,4156745,3302765
