,A1,A2,A3,A4,B1,B1 & B2,B2,B3,B4
5.0,13417,13538,13474,13508,13118,9892,13360,13623,13531
10.0,13627,14107,14035,13546,13627,10315,13883,14125,13710
14.0,13694,14231,14119,13620,13692,10658,14050,14276,14105
