,A,B,C,D,E,F,G,H,J,K,L,M
5.0,583,484,426,472,484,588,588,586,429,429,586,583
12.0,583,484,426,472,484,588,588,586,429,429,586,583
20.0,583,484,426,472,484,588,588,586,429,429,586,583
