,A1,A2,A3,A4,B1,B2,B3,B4
4.0,10300,10673,12944,12183,11967,10534,11706,12125
9.0,10634,11069,13380,12587,12377,10914,12095,12709
14.0,10986,11438,13817,13604,12746,11363,11580,13126
