,A,B,C,D,E,F,G
7.0,18155579,18754284,17038944,9915188,10002480,10299544,10188566
20.0,18872259,18938196,18478512,10995116,10856752,11264576,11128126
34.0,20987279,21054936,20533338,11921658,12048984,12258008,12009388
