,A,B,C,D,DE,E,F,G
16.0,15921,15978,16203,17723,16294,18085,18023,16378
32.0,17073,16529,16985,18003,17375,18030,18482,17827
59.0,18320,17921,19123,18060,18432,18667,18607,19532
