,A,B,C,D,E,F,G,H,J,K,M,N,O,P,Q,R
3.0,410,345,345,345,345,345,345,345,345,345,345,345,345,471,345,410
6.0,410,345,345,345,345,345,345,345,345,345,345,345,380,471,345,410
9.0,410,345,345,345,345,345,345,345,345,345,345,345,380,471,380,410
